"TestIndex","TestId","ManifoldId","Run","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport","IsUS100"
"23","0023_RUN3_Pass1483_US30_VAL","RUN3_Pass1483","RUN3","1483","US30","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"24","0024_RUN3_Pass1483_US30_OOS","RUN3_Pass1483","RUN3","1483","US30","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"25","0025_RUN3_Pass1483_US100_VAL","RUN3_Pass1483","RUN3","1483","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US100_D1StopLossSplit_RUN3_Pass1483_VAL_20140915_20180101.xml","reports\expanded_basket\US100_D1StopLossSplit_RUN3_Pass1483_VAL_20140915_20180101.xml.htm","True"
"26","0026_RUN3_Pass1483_US100_OOS","RUN3_Pass1483","RUN3","1483","US100","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US100_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\US100_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","True"
"27","0027_RUN3_Pass1483_UK100_IS","RUN3_Pass1483","RUN3","1483","UK100","Indices","IS","2008.06.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_IS_20080601_20120101.xml","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_IS_20080601_20120101.xml.htm","False"
"28","0028_RUN3_Pass1483_UK100_VAL","RUN3_Pass1483","RUN3","1483","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"29","0029_RUN3_Pass1483_UK100_OOS","RUN3_Pass1483","RUN3","1483","UK100","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\UK100_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"30","0030_RUN3_Pass1483_USOIL_IS","RUN3_Pass1483","RUN3","1483","USOIL","Energy","IS","2005.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml.htm","False"
"31","0031_RUN3_Pass1483_USOIL_VAL","RUN3_Pass1483","RUN3","1483","USOIL","Energy","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"32","0032_RUN3_Pass1483_USOIL_OOS","RUN3_Pass1483","RUN3","1483","USOIL","Energy","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\USOIL_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
