"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"20","0020_Pass3441_US500_VAL","3441","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml.htm"
"21","0021_Pass3441_US500_OOS","3441","US500","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"22","0022_Pass3441_US100_VAL","3441","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3441_VAL_20140915_20180101.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3441_VAL_20140915_20180101.xml.htm"
"23","0023_Pass3441_US100_OOS","3441","US100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"24","0024_Pass3441_UK100_IS","3441","UK100","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml.htm"
"25","0025_Pass3441_UK100_VAL","3441","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml.htm"
"26","0026_Pass3441_UK100_OOS","3441","UK100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"27","0027_Pass3044_EURUSD_IS","3044","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"28","0028_Pass3044_EURUSD_VAL","3044","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"29","0029_Pass3044_EURUSD_OOS","3044","EURUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
