"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"82","0082_Pass2303_GBPUSD_IS","2303","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"83","0083_Pass2303_GBPUSD_VAL","2303","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"84","0084_Pass2303_GBPUSD_OOS","2303","GBPUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"85","0085_Pass2303_USDJPY_IS","2303","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"86","0086_Pass2303_USDJPY_VAL","2303","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"87","0087_Pass2303_USDJPY_OOS","2303","USDJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"88","0088_Pass2303_EURJPY_IS","2303","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"89","0089_Pass2303_EURJPY_VAL","2303","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"90","0090_Pass2303_EURJPY_OOS","2303","EURJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"91","0091_Pass2303_XAUUSD_IS","2303","XAUUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"92","0092_Pass2303_XAUUSD_VAL","2303","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"93","0093_Pass2303_XAUUSD_OOS","2303","XAUUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"94","0094_Pass2303_XAGUSD_IS","2303","XAGUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"95","0095_Pass2303_XAGUSD_VAL","2303","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"96","0096_Pass2303_XAGUSD_OOS","2303","XAGUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"97","0097_Pass2303_US500_IS","2303","US500","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"98","0098_Pass2303_US500_VAL","2303","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"99","0099_Pass2303_US500_OOS","2303","US500","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"100","0100_Pass2303_US100_VAL","2303","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2303_VAL_20140915_20180101.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2303_VAL_20140915_20180101.xml.htm"
"101","0101_Pass2303_US100_OOS","2303","US100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"102","0102_Pass2303_UK100_IS","2303","UK100","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"103","0103_Pass2303_UK100_VAL","2303","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"104","0104_Pass2303_UK100_OOS","2303","UK100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
"105","0105_Pass2396_EURUSD_IS","2396","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"106","0106_Pass2396_EURUSD_VAL","2396","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"107","0107_Pass2396_EURUSD_OOS","2396","EURUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"108","0108_Pass2396_GBPUSD_IS","2396","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"109","0109_Pass2396_GBPUSD_VAL","2396","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"110","0110_Pass2396_GBPUSD_OOS","2396","GBPUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"111","0111_Pass2396_USDJPY_IS","2396","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"112","0112_Pass2396_USDJPY_VAL","2396","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"113","0113_Pass2396_USDJPY_OOS","2396","USDJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"114","0114_Pass2396_EURJPY_IS","2396","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"115","0115_Pass2396_EURJPY_VAL","2396","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"116","0116_Pass2396_EURJPY_OOS","2396","EURJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"117","0117_Pass2396_XAUUSD_IS","2396","XAUUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"118","0118_Pass2396_XAUUSD_VAL","2396","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"119","0119_Pass2396_XAUUSD_OOS","2396","XAUUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"120","0120_Pass2396_XAGUSD_IS","2396","XAGUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"121","0121_Pass2396_XAGUSD_VAL","2396","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"122","0122_Pass2396_XAGUSD_OOS","2396","XAGUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"123","0123_Pass2396_US500_IS","2396","US500","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"124","0124_Pass2396_US500_VAL","2396","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"125","0125_Pass2396_US500_OOS","2396","US500","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"126","0126_Pass2396_US100_VAL","2396","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2396_VAL_20140915_20180101.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2396_VAL_20140915_20180101.xml.htm"
"127","0127_Pass2396_US100_OOS","2396","US100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
"128","0128_Pass2396_UK100_IS","2396","UK100","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_IS_20000101_20120101.xml.htm"
"129","0129_Pass2396_UK100_VAL","2396","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_VAL_20120101_20180101.xml.htm"
"130","0130_Pass2396_UK100_OOS","2396","UK100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2396.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass2396_OOS_20180101_20260601.xml.htm"
